"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"10740","Albuquerque, NM","366","65","276","23","1","1",".","291","97","63",".","1","184","159","22"
"16100","Carlsbad-Artesia, NM","349","225","114","9","1",".",".","156","77","45",".","1","302","46","."
"19700","Deming, NM","364","224","129","7",".","1","3","1049","77","46",".","2","321",".","41"
"21580","Espa¤ola, NM","101","101",".",".",".",".",".","46","28","16",".",".",".","101","."
"22140","Farmington, NM","366","205","149","12",".",".",".","112","87","48",".","14","333","16","3"
"23700","Gallup, NM","263","263",".",".",".",".",".","39","23","14",".",".",".",".","263"
"26020","Hobbs, NM","363","280","82","1",".",".",".","117","58","41",".","12","164","187","."
"29740","Las Cruces, NM","366","136","199","23","1","1","6","1762","97","54",".","4","215","48","99"
"31060","Los Alamos, NM","115","115",".",".",".",".",".","48","33","19",".",".",".","115","."
"40740","Roswell, NM","110","97","13",".",".",".",".","61","52.5","33",".",".",".","110","."
"40760","Ruidoso, NM","114","106","8",".",".",".",".","85","41","21",".",".",".","114","."
"42140","Santa Fe, NM","366","247","118","1",".",".",".","108","71","45",".",".","342","24","."
"43500","Silver City, NM","366","322","44",".",".",".",".","84","51","41",".",".","366",".","."
"45340","Taos, NM","366","355","11",".",".",".",".","59","39","22",".",".",".","358","8"
